patient,group,mediaPosX,mediaPosY,mediaPosZ,mediaAngX,mediaAngY,mediaAngZ,stdPosX,stdPosY,stdPosZ,stdAngX,stdAngY,stdAngZ,kurPosX,kurPosY,kurPosZ,kurAngX,kurAngY,kurAngZ,skwPosX,skwPosY,skwPosZ,skwAngX,skwAngY,skwAngZ
7,A,0.106321071819175,-0.0382831133795119,-0.0510777834487811,88.5660366633267,15.873757730113,3.19943198323005,0.346841533139972,0.203910251720224,0.170263547581553,14.7605359336112,74.4265211057673,28.9451636991553,3.49244254415423,7.17421257139109,3.41665978802114,4.69701105672041,3.51446271126799,1.99490287035618,-0.508051210627438,-2.17980553136134,0.818014979339754,0.69225861188543,-0.476000162977902,-0.500188518609435
8,A,0.0831071466953289,0.0517923589468033,-0.0382800322407388,28.5968639914562,-2.20102041939813,-10.9121517463729,0.218522430160329,0.175215896641163,0.396920639883862,23.6353806521348,73.3089423766529,23.27519529473,2.76958703768704,9.94390652532124,2.70526980828038,2.89192984674417,2.73600906991454,5.50068193778316,-0.455742166508659,-2.6058124700204,-0.464546002820331,-0.407721651279373,0.148889979749911,0.373290397481909
9,A,0.138304085275165,-0.0133566980664349,-0.151864491819536,35.7047872202083,23.7276413244919,-17.6658603391175,0.221438452972415,0.171685287414528,0.323444130705946,21.3445593658358,86.7453642991978,24.1352986910439,2.94744123161525,4.57897158717449,3.12209990919571,2.29449421331036,2.54109344372004,3.65973495132459,-0.490076492774108,-1.48010716973485,-0.478990831871486,-0.229306110552621,-0.513823547643339,0.0961169474076982
10,A,0.182413659491189,0.0239019178082192,-0.212511506849313,115.28200502197,9.29235870968689,-20.424690138291,0.171476887342785,0.113058184600219,0.332680854231325,21.4722153742921,82.1488919196259,23.5510964572145,2.91170824963852,13.0344151680235,3.67253871653634,2.45062195436869,2.39203666160286,4.16404809985219,-0.348264196565233,-2.88290147480264,-0.596633612706654,-0.132613595295361,-0.0995626948773667,0.219749227185203
11,A,-0.289835393654518,0.0469336662749707,-0.134795252643944,8.59907924632786,4.04575765434781,7.32078038249118,0.236736810106271,0.204009955060267,0.146338740486887,21.3235965896553,131.31760569919,29.0802125460638,4.95698839895489,7.1105397602354,3.58389505008725,4.55799009996639,1.31715699438887,2.30110235046403,-0.65507559720124,-2.20223531901474,0.831393221034508,1.06053420815273,-0.00289409328500759,-0.551859980417362
12,A,-0.164010939786159,0.101297175014069,-0.279315160382665,16.9198406484074,21.7263071610862,26.5054865019696,0.40780223292522,0.145873327123265,0.271783174035714,19.5881168469078,83.8407209475554,20.8624388620661,2.19243891291539,11.300450949461,2.3482131890208,4.4005262410386,2.63788002414077,2.8921058956415,0.0750902692637343,-2.69933810109594,0.433337293076505,0.544093040426964,-0.408568985493671,-0.556758439112477
13,A,-0.241601203162603,0.131552719147473,0.0150351598487521,1.15960803396356,-0.103248992589213,46.0435403911998,0.24683428332998,0.187523873335183,0.327239922889229,23.7922716080408,80.2555085720547,27.3376562869221,3.51753712856666,7.82892863115611,3.44694746694879,2.52666453115299,2.54388515709627,2.72944281281336,-0.546637646662052,-2.14846343155857,0.534675209433901,0.305242286594494,0.28278183372611,-0.502233469659816
14,A,0.0326274367655889,0.030823580959968,-0.242308890659235,114.484505885698,17.1604206519737,1.85506985142401,0.324712903510712,0.153935507119683,0.225996078827846,17.0639231684709,84.541289398828,20.0803398685301,3.37954127118938,9.94844822694154,3.74492246230458,2.86718631024812,2.67838398335798,3.22282903777249,-0.387134867658518,-2.52815900263065,-0.252721514702787,0.120955705672764,-0.391472605564309,-0.560575994918803
15,A,-0.0313828652702373,0.205487370054306,-0.321577269200928,91.8238447875354,67.4378585780503,30.943735295578,0.292820829459593,0.262124635442641,0.269779265997448,19.0089826373044,68.6021386055597,27.6747394141375,5.82617840170062,2.78359471951366,2.18945395408873,5.25992680833363,3.5196375083745,1.60763138092635,-1.32817862119201,-1.08421992071886,0.435770259111202,-0.237501446289909,-0.826958123269562,-0.32287218708318
16,A,-0.269647049582715,0.016047187039764,-0.184701620029458,50.5576039248757,15.7055702839838,8.9682280569465,0.307516095354888,0.132681030866031,0.163374639639437,18.4233089906379,80.0883228232068,21.9805029465157,3.44786965639786,12.9797198273648,3.36179230080277,4.46834666852264,2.96907216428151,1.99370733034376,-0.416408250849206,-2.95001196557407,0.695889743460123,-0.726238994208949,-0.515160732848804,-0.526824547114928
