patient,group,mediaAccX,mediaAccY,mediaAccZ,stdAccX,stdAccY,stdAccZ,kurAccX,kurAccY,kurAccZ,skwAccX,skwAccY,skwAccZ
1,A,0.000248841072224879,-0.00015906365909223,8.414341587753e-05,42.3604290441353,42.7297024204877,29.9959006843322,7.64956899109604,11.472729411691,7.13139904324652,-0.00219920625937555,0.00272080810320536,-0.000632230312068591
2,A,3.6428843754831e-05,-3.45414555621701e-05,-7.43954230844775e-06,37.3384865761895,34.423712425115,24.15751464648,16.3205930268265,15.8066226812172,6.8287533007615,0.000815811428652239,0.000294793287135061,0.000871223974027646
3,A,-3.96889322958102e-05,-4.5065762479318e-05,0.000118005436508117,32.4406881119951,29.3658351988887,25.2512326061198,6.75954824727241,11.7350217609046,5.46103053283132,-0.00106909348340608,0.00131792795806322,0.000346417149478127
4,A,0.000161073151250921,-3.91759164137355e-05,-2.60719658799768e-05,29.8759614183072,26.0596997845314,19.8665390558718,7.64915502901793,11.5557786610404,6.88592898632392,-0.0036829750711939,0.00397058721008109,-0.000112296235682229
5,A,-0.000133958156786294,-9.86148699087125e-05,-7.13031870914312e-05,28.8890268382478,26.1497493299187,21.8643767188612,13.896748765327,15.5739827910872,5.98905368011412,-0.00159528564045376,0.0141452543500654,7.15589343456161e-06
6,A,6.64310109202194e-05,8.51117062441615e-06,0.000224781203856817,32.0757148378452,35.6324964892399,33.5218519859908,6.21967997578669,9.64389851608956,5.85676713191446,-5.4131394288242e-05,0.000685495895473835,-0.00900721794747735
7,A,2.54463910683232e-05,-1.10478465410357e-05,-4.3564677420919e-05,49.7530435768989,35.9420204728753,30.0913980253598,5.73461325423006,12.5341431876608,5.77066798088657,-0.00108076661621732,0.00123660430075839,0.0010156681994569
8,A,-0.000104296594617346,-9.61788882350796e-05,0.000260111998419154,28.5123294732564,27.2573849194112,34.4737031117244,5.44589911574363,18.1425978664953,5.79124285015167,0.00282827992840535,-0.00340738429852319,-0.00622706323311882
9,A,-4.16108297303961e-05,-4.79516186028808e-05,-3.92664041213756e-05,32.5494036149363,30.8376769751264,35.7551128520967,6.04127365528531,12.1147697734963,5.84382394795894,0.000335165475390235,-0.000515515131069234,-0.00688714091839909
10,A,9.48749819573423e-05,-2.30356475020766e-05,0.000185659298304519,27.6781876996973,27.2089765208716,36.9168695787103,5.18841809672019,15.9278319677006,5.42246422442609,-0.000526644956343041,0.00476985664496983,-0.00252583560329215
11,A,-0.000191153515822614,-8.73921771968795e-05,0.00026941498088672,35.4747655456424,29.3473154110614,23.0617464675119,8.265545333254,9.71244650542623,6.93971406005492,0.00206036644888146,8.75419955358176e-05,-0.00134882830478931
12,A,0.00021855794672069,9.53713136042364e-05,-0.000109270979670031,46.2800467058354,31.7601505082803,39.3496189679891,5.38109586593617,14.2634958824401,4.59402006200791,-0.00197831051994762,0.00235310979697342,0.000943495053028788
13,A,0.000375141351652118,-7.68015111513011e-06,0.000208980168739759,38.4448038697358,38.3353750187952,43.2916882135686,5.54168741291744,11.6589416597142,6.10587729660814,0.000754038847591293,0.0027868993983064,0.000157594369465942
14,A,-8.64943204926482e-06,1.1983551169385e-05,-2.00462168647974e-05,30.1213382385217,22.2814000822596,24.1390638734279,10.3461067125869,13.3758760607811,6.2117713552416,0.00225610603882932,-0.00329663608699472,-0.000173889265102884
15,A,0.000818835743165287,-0.00104755217387872,0.00109637470119248,41.6144566543635,57.5412782914527,45.2297351273017,8.74964197547379,7.3265738415161,5.91492541308974,-0.00238655963772289,0.00137833029735778,0.00112096480041268
16,A,-3.23582400550811e-05,-2.38807093555997e-05,8.23236039132665e-06,34.1777280103773,25.2757093819299,25.1495603139508,6.66126843009981,19.4180216350156,6.80647230725562,0.00151972123560108,-0.000616577479577403,0.00032959867995654
17,A,0.000226170891804776,2.07244267132656e-05,3.69140352751376e-06,40.4723490058956,30.4863324705021,31.8991742769176,5.82547875289386,11.020552913384,8.31954474444673,-0.00348028604371136,-0.005299078298278,0.00713572675750929
18,A,0.000144497994022209,0.000107409921704661,6.99473923556722e-05,38.6562916493788,35.2848134747889,28.0732030701181,5.42449432319434,13.0946857819992,6.84791390837369,-0.00928917535573094,0.000537280419049132,0.000114634038177025
19,A,0.000281774919324654,0.000221096039766225,-8.91861571496338e-05,29.3528336566143,31.0187349273193,24.8855536359732,14.239934282139,32.1515623005163,12.8430302837949,-0.00284819599129288,2.94709642440781e-05,-0.0128406332759534
20,A,-7.68396471561397e-06,4.21699637688979e-05,-0.000103972081961534,33.4306275686515,25.8031316969724,32.3568333570838,9.39730174363477,10.9191560704237,7.67021581431426,-0.000853391631597132,0.000484782742052092,0.00117032320658801
21,A,-0.000532590614985341,-7.99869213322157e-05,0.000426983245216055,50.4209479872782,48.5901675803097,42.982812447924,6.81309841539005,7.07471276173538,6.57864811238532,-0.00585521956961779,0.00599203669375964,0.00128298735360229
22,A,-0.000257283793282756,-3.67404515822214e-05,0.000239235540651326,36.3885987144679,29.9540546370296,25.1229647608029,7.11802141267574,15.5720962468626,5.4950208658067,0.00256469764162592,0.00330833582356427,0.000511198718043393
23,A,-0.000112491153680928,-7.16033544940653e-05,0.000252542318125106,25.3536053619856,19.4805247939337,28.2149082486525,6.7957000795284,11.5048337031682,8.11600917916354,-0.00111587687602019,0.00284946681785161,-0.00147188887971648
24,A,-4.24654272616625e-05,-0.000801591344495758,0.00166695799397802,42.8340673804238,50.0113007243199,39.0394681497328,5.67158901623365,9.71727104644224,5.76218844322097,-0.00449768217718717,-0.00010480248558608,-0.000567639343005703
25,A,3.98764930306971e-05,-0.0003993373514637,0.00084337854952223,38.0988124305339,28.0105032009912,24.9281192341716,7.96333228202973,18.8715704828005,5.36226472321863,-0.0128203659053339,0.0401479717008879,-0.00285648388349699
26,A,0.000212360391626311,-8.95855547171887e-06,2.35005208320596e-05,34.3280289228649,25.0430124295352,23.599757522568,5.41709195520039,23.8952678456421,4.87610534829693,0.000564893811106338,-0.00997980236940811,-0.000409840683242882
27,A,9.72263890990676e-05,6.73569601424094e-06,-0.000188511017981758,29.7578950629489,26.656153592313,26.140701062561,5.47498242284779,19.9974651670621,5.53447603675895,-0.000723333102877126,0.000214031473878862,0.00194525609316242
28,A,0.000550858565772497,0.000351065116090098,-0.000207078552450597,43.9127968326836,34.272350494971,32.6195332941006,7.54592664193879,9.7679062563059,5.86729469237321,-0.0104419483014541,0.00622459119741364,-0.00573481906789185
29,A,0.000234144239009567,-0.000184658850480345,-0.000326796882796603,25.8962868632823,20.9378502742764,19.6791402947865,13.4067064436599,30.7128973241507,10.0064651254075,0.000693480981962064,0.00748369516014855,0.00168769975748183
30,A,-0.000459700265560286,0.000329617803002433,1.00714705003176e-05,37.8591008894895,33.6403841595085,37.0687971276603,9.39883417458678,11.0901919725429,6.71841040760749,-0.00698851948704489,0.00698901780417517,0.000410192099084092
31,A,-0.000259094713959994,-0.000142611573216417,0.000439833437588976,40.8611054913558,31.6140684642806,28.4059551043341,8.32004615457407,11.5646174914385,8.31617360665843,0.0033834894910671,-0.000532486730102824,-0.000624992162119492
32,A,-0.000148147849809033,-0.000105584140871174,0.000240622097749244,22.1939235154314,21.1563705509165,16.3640171766807,6.37610224620997,18.6419995267457,7.20660567119326,0.0011550419392585,-3.00038424955982e-05,0.000951780081048827
33,A,0.000122345744721356,0.000166345580330728,-0.000304244404010165,39.096366093506,29.4940815421671,34.0065490002621,9.00283380052409,10.7866919594882,7.41588627690462,-0.00502183818992592,0.00151066301412616,-0.000485551218663426
34,A,-0.000378992512791331,0.000231931308997444,-0.000359485466357833,36.3175951452336,38.2398831924661,39.8673252761719,6.29385536419588,11.4632507193379,6.19469814299742,-0.000182518320007916,0.000510693566805719,-0.00019888257559029
35,A,1.73485184551309e-06,2.70732721436103e-05,-1.54335148652167e-05,27.6703376707992,32.9002194153077,32.949160823943,8.43113305944087,14.1457851841774,9.05401193682597,-0.00106421772100539,0.00324580685388087,0.00450444062701731
36,A,0.000473002690508887,-8.73046937718968e-05,-3.92147917364231e-06,34.8599192712511,35.5414206363848,40.3140008774589,4.68743737406108,11.7713654258553,6.12321193193417,-0.000181659061052931,-0.00123160539958727,0.000540494379774987
37,A,0.000226735398527405,-0.000147010407898624,-6.73590067140883e-05,39.6930856057972,34.4759049542757,33.4810828796798,5.77453597571152,10.5038003956845,8.16248950246145,-0.00325988240868584,0.00295501258128339,0.00036055240292552
38,A,-0.000116924949724342,9.77115163428969e-05,-0.000146635713357188,46.9579942222607,42.1844338526959,34.4709148193523,7.98761210709945,11.1344709024002,5.01528039038586,-0.00160298673311075,0.00852319547117076,-0.00360259900515573
39,A,-0.000480663835795973,-0.00153757289887638,0.00197414627471944,57.7594853278293,44.1790895786927,40.8937591818074,6.69154447892874,7.8040720748449,6.1630002828826,-0.00287724280365247,-0.000151550502917887,-0.000103471266265782
40,A,-8.76753389453916e-05,-6.85965146433066e-05,0.000655644432634047,32.4425616549876,31.3763893846388,26.6089599771922,5.18744213292277,20.5672935117976,6.98965390970611,-0.000270084649739046,-0.00120877415253422,-0.00851825391235306
41,A,-0.000323214657471857,-0.000835519845691005,0.000938266072634111,41.8874849407502,32.9347828461235,31.2591144696275,6.82574232052184,8.55052188819392,6.3042130001819,-0.00528685683212175,0.000883425850725799,0.00103388746092278
42,A,-0.000692145882745256,-0.00120274944870842,0.00023631205892978,39.7299124544533,34.7404602679997,36.2108605205819,6.81242881035301,11.8683059826005,7.21890428162794,-0.0041641717587785,-0.000683975272672638,-0.00474464511368087
43,A,2.9762846886183e-05,0.000126367347589485,0.000194731184801284,27.6578463064348,34.0947025867045,27.2794036378252,9.04557712154812,10.3441091640502,8.94217596506501,0.00406173161745599,0.00177262792076271,-0.00146661514342554
44,B,0.000127591079736837,7.23270371098089e-05,-0.000121833537388571,37.3495304482978,38.6977968673584,28.5269794558085,6.14771347321915,7.55612994871992,7.53158735423863,-0.00561432662695895,-0.00022576020894327,0.0010428996192614
45,B,0.000432583572146945,-8.66264572446965e-05,-0.000172768291353818,17.4054104930274,12.9385544359437,19.1923259565724,9.35179360845112,27.5493141892517,9.53912966408958,0.000233287250219426,-0.0122033020017217,0.00718931432863043
46,B,6.69553299864634e-05,1.15523575059725e-05,2.32713261993768e-05,22.0291173063734,23.5283677748163,33.7967238296521,6.2381681548266,25.6937022042987,7.75057835194753,-0.000651199544008483,-0.000587570974625419,-0.000798849451413278
47,B,5.62588032602938e-05,-1.01988082886982e-05,-6.3714812433473e-08,33.4184282853717,30.2400268281515,39.9759277057776,7.35495089183427,10.492678807121,8.4279480734737,0.00332723753799672,0.00349758579841937,-0.00979136168173162
48,B,3.40158186720733e-05,3.09891031888782e-05,0.000172631229655696,19.5500018231308,19.2821248502194,26.938561981277,5.11007561601121,20.0185557466463,5.44663367539357,0.00269586122140785,-0.00154057129046651,-0.00189767692117999
49,B,-0.00134762631497985,-0.0010732812376278,0.000378646878146824,39.0927826470134,44.3707283072258,43.6089979720135,5.30168899550241,8.03565281789186,5.64880921444089,0.000463369539400674,0.00183692348127594,-0.00904375029639326
50,B,-7.67149899158213e-05,1.29519227898843e-06,-6.27535885907073e-05,30.0492419240467,37.4520361206998,39.8696820686354,8.44243892243128,16.0284121977891,6.99560673807349,-0.00034296835878929,-0.000636352803381357,-0.0070767005464005
51,B,-0.000564115524027403,-0.000163702826177615,8.3886255595084e-05,36.3450796006018,21.7288861989631,30.6117727672015,4.69297429164918,15.2366989778269,5.82201890192681,0.0013892205382048,0.000899697115251347,0.000560453573083395
52,B,1.72497445324722e-05,1.90119617052055e-05,-7.71129053670538e-06,40.210347496415,30.5373702091226,32.4471467462201,6.5751141694526,14.0636933719813,6.37483413911375,-0.00351802769177753,-0.00153185193607814,-0.000575768441379572
